,Closed Date,Created Date,Agency,Borough,processing_time,start_time_window
151,2016-01-01 03:01:27,2016-01-01 00:42:22,NYPD,BROOKLYN,0 days 02:19:05.000000000,0
152,2016-01-01 05:31:26,2016-01-01 00:42:50,NYPD,BROOKLYN,0 days 04:48:36.000000000,0
153,2016-01-01 03:43:39,2016-01-01 00:42:53,NYPD,BROOKLYN,0 days 03:00:46.000000000,0
154,2016-01-01 06:27:35,2016-01-01 00:43:02,NYPD,BROOKLYN,0 days 05:44:33.000000000,0
155,2016-01-01 07:47:25,2016-01-01 00:43:08,NYPD,BRONX,0 days 07:04:17.000000000,0
156,2016-01-01 03:30:48,2016-01-01 00:43:10,NYPD,BROOKLYN,0 days 02:47:38.000000000,0
157,2016-01-01 06:55:33,2016-01-01 00:43:24,NYPD,QUEENS,0 days 06:12:09.000000000,0
158,2016-01-01 02:43:10,2016-01-01 00:43:39,NYPD,BROOKLYN,0 days 01:59:31.000000000,0
159,2016-01-01 00:55:17,2016-01-01 00:43:46,NYPD,MANHATTAN,0 days 00:11:31.000000000,0
160,2016-01-01 02:21:39,2016-01-01 00:43:48,NYPD,BROOKLYN,0 days 01:37:51.000000000,0
161,2016-01-01 03:45:55,2016-01-01 00:43:52,NYPD,QUEENS,0 days 03:02:03.000000000,0
162,2016-01-01 01:13:18,2016-01-01 00:43:58,NYPD,MANHATTAN,0 days 00:29:20.000000000,0
163,2016-01-01 00:48:49,2016-01-01 00:44:06,NYPD,MANHATTAN,0 days 00:04:43.000000000,0
164,2016-01-01 03:43:30,2016-01-01 00:44:34,NYPD,BROOKLYN,0 days 02:58:56.000000000,0
165,2016-01-01 11:37:37,2016-01-01 00:44:37,NYPD,BRONX,0 days 10:53:00.000000000,0
166,2016-01-01 01:15:28,2016-01-01 00:44:45,NYPD,BROOKLYN,0 days 00:30:43.000000000,0
167,2016-01-01 04:13:42,2016-01-01 00:44:58,NYPD,BRONX,0 days 03:28:44.000000000,0
168,2016-01-01 01:30:54,2016-01-01 00:45:10,NYPD,BRONX,0 days 00:45:44.000000000,0
169,2016-01-01 03:07:06,2016-01-01 00:45:11,NYPD,STATEN ISLAND,0 days 02:21:55.000000000,0
170,2016-01-01 02:21:36,2016-01-01 00:45:16,NYPD,BROOKLYN,0 days 01:36:20.000000000,0
171,2016-01-07 01:07:13,2016-01-01 00:45:27,HPD,MANHATTAN,6 days 00:21:46.000000000,0
172,2016-01-01 07:44:45,2016-01-01 00:45:38,NYPD,BRONX,0 days 06:59:07.000000000,0
173,2016-01-01 03:00:09,2016-01-01 00:45:47,NYPD,BROOKLYN,0 days 02:14:22.000000000,0
174,2016-01-01 05:18:18,2016-01-01 00:45:50,NYPD,QUEENS,0 days 04:32:28.000000000,0
175,2016-01-01 07:44:44,2016-01-01 00:45:59,NYPD,BRONX,0 days 06:58:45.000000000,0
176,2016-01-01 01:13:17,2016-01-01 00:46:04,NYPD,MANHATTAN,0 days 00:27:13.000000000,0
177,2016-01-08 09:11:15,2016-01-01 00:46:56,HPD,STATEN ISLAND,7 days 08:24:19.000000000,0
178,2016-01-01 08:26:26,2016-01-01 00:46:56,NYPD,QUEENS,0 days 07:39:30.000000000,0
179,2016-01-01 04:58:33,2016-01-01 00:47:00,NYPD,MANHATTAN,0 days 04:11:33.000000000,0
180,2016-01-01 02:52:20,2016-01-01 00:47:10,NYPD,BROOKLYN,0 days 02:05:10.000000000,0
181,2016-01-01 03:00:08,2016-01-01 00:47:26,NYPD,STATEN ISLAND,0 days 02:12:42.000000000,0
182,2016-01-01 02:36:12,2016-01-01 00:47:39,NYPD,BROOKLYN,0 days 01:48:33.000000000,0
183,2016-01-01 01:38:02,2016-01-01 00:47:41,NYPD,QUEENS,0 days 00:50:21.000000000,0
184,2016-01-01 07:16:50,2016-01-01 00:48:15,NYPD,MANHATTAN,0 days 06:28:35.000000000,0
185,2016-01-01 04:10:43,2016-01-01 00:48:28,NYPD,BRONX,0 days 03:22:15.000000000,0
186,2016-01-01 07:42:54,2016-01-01 00:48:31,NYPD,QUEENS,0 days 06:54:23.000000000,0
187,2016-01-01 15:57:48,2016-01-01 00:48:39,NYPD,BROOKLYN,0 days 15:09:09.000000000,0
188,2016-01-01 01:11:54,2016-01-01 00:48:51,NYPD,MANHATTAN,0 days 00:23:03.000000000,0
189,2016-01-06 10:52:10,2016-01-01 00:49:16,HPD,QUEENS,5 days 10:02:54.000000000,0
190,2016-01-01 04:38:35,2016-01-01 00:49:22,NYPD,BROOKLYN,0 days 03:49:13.000000000,0
191,2016-01-01 08:27:33,2016-01-01 00:49:35,NYPD,QUEENS,0 days 07:37:58.000000000,0
192,2016-01-01 06:27:55,2016-01-01 00:49:38,NYPD,BROOKLYN,0 days 05:38:17.000000000,0
193,2016-01-01 05:25:54,2016-01-01 00:50:10,NYPD,BRONX,0 days 04:35:44.000000000,0
194,2016-01-01 03:14:02,2016-01-01 00:50:16,NYPD,BRONX,0 days 02:23:46.000000000,0
195,2016-01-01 02:41:56,2016-01-01 00:50:48,NYPD,QUEENS,0 days 01:51:08.000000000,0
196,2016-01-01 04:30:26,2016-01-01 00:50:58,NYPD,BRONX,0 days 03:39:28.000000000,0
197,2016-01-01 10:01:48,2016-01-01 00:51:17,NYPD,BRONX,0 days 09:10:31.000000000,0
198,2016-01-01 06:54:40,2016-01-01 00:51:37,NYPD,QUEENS,0 days 06:03:03.000000000,0
199,2016-01-01 01:11:55,2016-01-01 00:51:37,NYPD,MANHATTAN,0 days 00:20:18.000000000,0
200,2016-01-01 03:16:30,2016-01-01 00:52:48,NYPD,QUEENS,0 days 02:23:42.000000000,0
201,2016-01-01 03:11:39,2016-01-01 00:52:54,NYPD,BROOKLYN,0 days 02:18:45.000000000,0
202,2016-01-01 01:45:10,2016-01-01 00:52:59,NYPD,MANHATTAN,0 days 00:52:11.000000000,0
203,2016-01-01 01:25:51,2016-01-01 00:53:00,NYPD,MANHATTAN,0 days 00:32:51.000000000,0
204,2016-01-01 03:51:59,2016-01-01 00:53:02,NYPD,MANHATTAN,0 days 02:58:57.000000000,0
205,2016-01-01 06:35:11,2016-01-01 00:53:29,NYPD,QUEENS,0 days 05:41:42.000000000,0
206,2016-01-01 15:58:54,2016-01-01 00:53:41,NYPD,BROOKLYN,0 days 15:05:13.000000000,0
207,2016-01-01 02:16:51,2016-01-01 00:53:56,NYPD,BROOKLYN,0 days 01:22:55.000000000,0
208,2016-01-01 06:28:05,2016-01-01 00:54:09,NYPD,BROOKLYN,0 days 05:33:56.000000000,0
209,2016-01-01 03:54:45,2016-01-01 00:54:10,NYPD,MANHATTAN,0 days 03:00:35.000000000,0
210,2016-01-01 11:44:57,2016-01-01 00:54:14,NYPD,BRONX,0 days 10:50:43.000000000,0
211,2016-01-01 10:01:48,2016-01-01 00:54:20,NYPD,BRONX,0 days 09:07:28.000000000,0
212,2016-01-01 06:07:11,2016-01-01 00:54:29,NYPD,MANHATTAN,0 days 05:12:42.000000000,0
213,2016-01-01 03:00:10,2016-01-01 00:54:40,NYPD,BROOKLYN,0 days 02:05:30.000000000,0
214,2016-01-01 06:28:14,2016-01-01 00:54:58,NYPD,BROOKLYN,0 days 05:33:16.000000000,0
215,2016-01-01 08:14:14,2016-01-01 00:55:02,NYPD,MANHATTAN,0 days 07:19:12.000000000,0
216,2016-01-01 01:16:35,2016-01-01 00:55:10,NYPD,MANHATTAN,0 days 00:21:25.000000000,0
217,2016-01-01 14:05:29,2016-01-01 00:55:19,NYPD,BRONX,0 days 13:10:10.000000000,0
218,2016-01-01 01:45:12,2016-01-01 00:55:19,NYPD,MANHATTAN,0 days 00:49:53.000000000,0
219,2016-01-05 15:01:55,2016-01-01 00:55:21,HPD,MANHATTAN,4 days 14:06:34.000000000,0
220,2016-01-01 01:11:57,2016-01-01 00:55:27,NYPD,MANHATTAN,0 days 00:16:30.000000000,0
221,2016-01-01 02:52:17,2016-01-01 00:55:33,NYPD,BROOKLYN,0 days 01:56:44.000000000,0
222,2016-01-01 08:15:20,2016-01-01 00:55:53,NYPD,BROOKLYN,0 days 07:19:27.000000000,0
223,2016-01-01 04:51:04,2016-01-01 00:56:06,NYPD,BRONX,0 days 03:54:58.000000000,0
224,2016-01-01 03:41:55,2016-01-01 00:56:14,NYPD,QUEENS,0 days 02:45:41.000000000,0
225,2016-01-01 01:54:01,2016-01-01 00:56:42,NYPD,MANHATTAN,0 days 00:57:19.000000000,0
226,2016-01-01 03:14:05,2016-01-01 00:56:59,NYPD,BRONX,0 days 02:17:06.000000000,0
227,2016-01-01 01:34:27,2016-01-01 00:57:26,NYPD,BROOKLYN,0 days 00:37:01.000000000,0
228,2016-01-01 05:09:37,2016-01-01 00:57:31,NYPD,BROOKLYN,0 days 04:12:06.000000000,0
229,2016-01-01 03:03:48,2016-01-01 00:57:33,NYPD,BROOKLYN,0 days 02:06:15.000000000,0
230,2016-01-01 07:12:43,2016-01-01 00:57:54,NYPD,BROOKLYN,0 days 06:14:49.000000000,0
231,2016-01-01 01:11:59,2016-01-01 00:57:58,NYPD,MANHATTAN,0 days 00:14:01.000000000,0
232,2016-01-01 01:34:26,2016-01-01 00:58:09,NYPD,BROOKLYN,0 days 00:36:17.000000000,0
233,2016-01-03 17:50:08,2016-01-01 00:58:14,HPD,MANHATTAN,2 days 16:51:54.000000000,0
234,2016-01-03 17:50:08,2016-01-01 00:58:14,HPD,MANHATTAN,2 days 16:51:54.000000000,0
235,2016-01-01 01:45:13,2016-01-01 00:58:31,NYPD,MANHATTAN,0 days 00:46:42.000000000,0
236,2016-01-03 16:23:58,2016-01-01 00:58:32,NYPD,BRONX,2 days 15:25:26.000000000,0
237,2016-01-01 09:04:14,2016-01-01 00:58:36,NYPD,BRONX,0 days 08:05:38.000000000,0
238,2016-01-01 01:33:23,2016-01-01 00:58:43,NYPD,BROOKLYN,0 days 00:34:40.000000000,0
239,2016-01-01 02:06:35,2016-01-01 00:58:56,NYPD,QUEENS,0 days 01:07:39.000000000,0
240,2016-01-01 07:52:48,2016-01-01 00:59:29,NYPD,MANHATTAN,0 days 06:53:19.000000000,0
241,2016-01-01 03:46:02,2016-01-01 00:59:46,NYPD,QUEENS,0 days 02:46:16.000000000,0
242,2016-01-01 01:13:11,2016-01-01 01:00:44,NYPD,MANHATTAN,0 days 00:12:27.000000000,1
243,2016-01-01 01:12:00,2016-01-01 01:00:52,NYPD,MANHATTAN,0 days 00:11:08.000000000,1
244,2016-01-01 03:57:47,2016-01-01 01:01:14,NYPD,QUEENS,0 days 02:56:33.000000000,1
245,2016-01-01 05:31:28,2016-01-01 01:01:27,NYPD,BROOKLYN,0 days 04:30:01.000000000,1
246,2016-01-01 02:22:44,2016-01-01 01:01:59,NYPD,MANHATTAN,0 days 01:20:45.000000000,1
